,name,f1,tn,fn,fp,tp,tnr,fnr,fpr,tpr
600,ONCY,0.0,114,0,71,0,1.0,0.0,1.0,0.0
601,OMI,0.5291005291005292,46,44,45,50,0.5111111111111111,0.4888888888888889,0.47368421052631576,0.5263157894736842
602,OMC,0.6194029850746269,0,102,0,83,0.0,1.0,0.0,1.0
603,PAI,0.4183006535947712,64,31,58,32,0.6736842105263158,0.3263157894736842,0.6444444444444445,0.35555555555555557
604,ORN,0.5877192982456141,24,70,24,67,0.2553191489361702,0.7446808510638298,0.26373626373626374,0.7362637362637363
605,OSMT,0.0,58,3,49,0,0.9508196721311475,0.04918032786885246,1.0,0.0
606,OTTW,0.0,97,0,63,0,1.0,0.0,1.0,0.0
607,OXLC,0.4875,64,29,53,39,0.6881720430107527,0.3118279569892473,0.5760869565217391,0.42391304347826086
608,PAGS,0.5527638190954774,27,59,30,55,0.313953488372093,0.686046511627907,0.35294117647058826,0.6470588235294118
609,PAGP,0.0,111,0,74,0,1.0,0.0,1.0,0.0
610,OTLK,0.12987012987012989,113,3,64,5,0.9741379310344828,0.02586206896551724,0.927536231884058,0.07246376811594203
611,OZK,0.5128205128205128,40,58,37,50,0.40816326530612246,0.5918367346938775,0.42528735632183906,0.5747126436781609
612,PAACU,0.5,2,14,0,7,0.125,0.875,0.0,1.0
613,OSPN,0.6738351254480287,0,91,0,94,0.0,1.0,0.0,1.0
614,OVV,0.43678160919540227,49,60,38,38,0.44954128440366975,0.5504587155963303,0.5,0.5
615,PANW,0.348993288590604,62,22,75,26,0.7380952380952381,0.2619047619047619,0.7425742574257426,0.25742574257425743
616,PAHC,0.5104166666666667,42,46,48,49,0.4772727272727273,0.5227272727272727,0.4948453608247423,0.5051546391752577
617,OXBR,0.0,108,0,77,0,1.0,0.0,1.0,0.0
618,OXLCM,0.14457831325301207,100,11,60,6,0.9009009009009009,0.0990990990990991,0.9090909090909091,0.09090909090909091
619,OXY,0.34108527131782945,78,17,68,22,0.8210526315789474,0.17894736842105263,0.7555555555555555,0.24444444444444444
